lyrics,artist
"I've been drinkin', I've been drinkin'",beyonce
I get filthy when that liquor get into me,beyonce
"I've been thinkin', I've been thinkin'",beyonce
Why can't I keep my fingers off it?,beyonce
"Baby, I want you, now-now",beyonce
Why can't I keep my fingers off you?,beyonce
"Baby, I want you, na na",beyonce
"Cigars on ice, cigars on ice",beyonce
Feelin' like an animal with these cameras all in my grill,beyonce
"Flashin' lights, flashin' lights",beyonce
"You got me faded, faded, faded",beyonce
"Baby, I want you, na na",beyonce
Can't keep your eyes off my fatty,beyonce
"Daddy, I want you, na na",beyonce
"Drunk in love, I want you",beyonce
We woke up in the kitchen,beyonce
"Saying, ""How the hell did this shit happen?""",beyonce
"Oh, baby",beyonce
Drunk in love,beyonce
We be all night,beyonce
Last thing I remember is our beautiful bodies grindin' up,beyonce
Drunk in love,beyonce
"We be all night, love, love",beyonce
"We be all night, love, love",beyonce
"We be all night, and everything all right",beyonce
No complaints from my body,beyonce
So fluorescent under these lights,beyonce
"Boy, I'm drinkin', park it in my lot, 7-11",beyonce
"I'm rubbin' on it, rub-rubbin'",beyonce
"If you scared, call that reverend",beyonce
"Boy, I'm drinkin', get my brain right",beyonce
"Armand de Brignac, gangster wife",beyonce
"Louis sheets, he sweat it out",beyonce
"Like washrags, he wet it up",beyonce
"Boy, I'm drinkin', I'm singin' on the mic to my boy toys",beyonce
Then I fill the tub up halfway,beyonce
Then ride it with my surfboard,beyonce
"Surfboard, surfboard",beyonce
Grainin' on that wood,beyonce
Grainin'-grainin' on that wood,beyonce
"I'm swervin' on that, swervin'-swervin' on that",beyonce
Big body been servin' all this,beyonce
"Swerve, surfin' all in this good-good",beyonce
Hahaha!,beyonce
We woke up in the kitchen,beyonce
"Saying, ""How the hell did this shit happen?""",beyonce
"Oh, baby",beyonce
Drunk in love,beyonce
We be all night,beyonce
Last thing I remember is our beautiful bodies grindin' up,beyonce
Drunk in love,beyonce
"We be all night, love, love",beyonce
"We be all night, love, love",beyonce
I'm nice right now… Hold up!,beyonce
That D'USSÉ is the shit if I do say so myself,beyonce
"If I do say so myself, if I do say so myself",beyonce
"Hold up, stumble all in the house",beyonce
Time to back up all that mouth,beyonce
That you had all in the car,beyonce
Talkin' about you the baddest bitch thus far,beyonce
Talkin' about you be reppin' that Third,beyonce
I wanna see all that shit that I heard,beyonce
Know I sling Clint Eastwood,beyonce
"Hope you can handle this curve, uh",beyonce
"Foreplay in a foyer, fucked up my Warhol",beyonce
Slid the panties right to the side,beyonce
Ain't got the time to take drawers off,beyonce
"On sight, catch a charge I might",beyonce
"Beat the box up, like Mike in '97, I bite",beyonce
"I'm Ike Turner, turn up, baby, no I don't play",beyonce
"""Now eat the cake, Anna Mae!""",beyonce
"Said, ""Eat the cake, Anna Mae!""",beyonce
"I'm nice, for y'all to reach these heights",beyonce
"You gon' need G3, 4, 5, 6 flights",beyonce
"Sleep tight, we sex again in the morning",beyonce
Your breasteses is my breakfast,beyonce
"We goin' in, we be all night",beyonce
